timestamp, kwh, co2
19-08-2007 00:00, 46.319, 7.642635
20-08-2007 00:00, 38.272, 6.31488
21-08-2007 00:00, 43.731, 7.215615
22-08-2007 00:00, 32.473, 5.358045
23-08-2007 00:00, 49.824, 8.22096
24-08-2007 00:00, 32.637, 5.385105
25-08-2007 00:00, 33.033, 5.450445
26-08-2007 00:00, 31.616, 5.21664
27-08-2007 00:00, 17.129, 2.826285
28-08-2007 00:00, 25.245, 4.165425
29-08-2007 00:00, 36.445, 6.013425
30-08-2007 00:00, 45.29, 7.47285
31-08-2007 00:00, 48.122, 7.94013
01-09-2007 00:00, 32.5, 5.3625
02-09-2007 00:00, 34.802, 5.74233
03-09-2007 00:00, 17.406, 2.87199
04-09-2007 00:00, 28.707, 4.736655
05-09-2007 00:00, 11.98, 1.9767
06-09-2007 00:00, 53.052, 8.75358
07-09-2007 00:00, 31.898, 5.26317
08-09-2007 00:00, 39.273, 6.480045
09-09-2007 00:00, 8.94, 1.4751
10-09-2007 00:00, 41.277, 6.810705
11-09-2007 00:00, 43.234, 7.13361
12-09-2007 00:00, 40.229, 6.637785
13-09-2007 00:00, 47.829, 7.891785
14-09-2007 00:00, 34.727, 5.729955
15-09-2007 00:00, 51.692, 8.52918
16-09-2007 00:00, 25.294, 4.17351
17-09-2007 00:00, 42.96, 7.0884
18-09-2007 00:00, 39.263, 6.478395
19-09-2007 00:00, 42.397, 6.995505
20-09-2007 00:00, 14.704, 2.42616
21-09-2007 00:00, 42.175, 6.958875
22-09-2007 00:00, 40.12, 6.6198
23-09-2007 00:00, 31.254, 5.15691
24-09-2007 00:00, 35.719, 5.893635
25-09-2007 00:00, 37.815, 6.239475
26-09-2007 00:00, 52.566, 8.67339
27-09-2007 00:00, 53.114, 8.76381
28-09-2007 00:00, 65.813, 10.859145
29-09-2007 00:00, 59.304, 9.78516
30-09-2007 00:00, 30.036, 4.95594
01-10-2007 00:00, 24.762, 4.08573
02-10-2007 00:00, 44.03, 7.26495
03-10-2007 00:00, 40.416, 6.66864
04-10-2007 00:00, 46.91, 7.74015
05-10-2007 00:00, 41.568, 6.85872
06-10-2007 00:00, 48.036, 7.92594
07-10-2007 00:00, 34.91, 5.76015
08-10-2007 00:00, 32.307, 5.330655
09-10-2007 00:00, 12.728, 2.10012
10-10-2007 00:00, 21.107, 3.482655
11-10-2007 00:00, 30.931, 5.103615
12-10-2007 00:00, 26.337, 4.345605
13-10-2007 00:00, 24.595, 4.058175
14-10-2007 00:00, 35.349, 5.832585
15-10-2007 00:00, 40.606, 6.69999
16-10-2007 00:00, 32.975, 5.440875
17-10-2007 00:00, 30.738, 5.07177
20-02-2007 00:00, 4.16, 0.6864
21-02-2007 00:00, 7.665, 1.264725
22-02-2007 00:00, 9.98, 1.6467
23-02-2007 00:00, 11.34, 1.8711
24-02-2007 00:00, 9.179, 1.514535
25-02-2007 00:00, 10.683, 1.762695
26-02-2007 00:00, 9.412, 1.55298
27-02-2007 00:00, 9.81, 1.61865
28-02-2007 00:00, 4.805, 0.792825
01-03-2007 00:00, 10.912, 1.80048
02-03-2007 00:00, 10.668, 1.76022
03-03-2007 00:00, 11.867, 1.958055
04-03-2007 00:00, 9.171, 1.513215
05-03-2007 00:00, 12.122, 2.00013
06-03-2007 00:00, 11.82, 1.9503
07-03-2007 00:00, 0, 0
08-03-2007 00:00, 4.91, 0.81015
09-03-2007 00:00, 12.072, 1.99188
10-03-2007 00:00, 11.389, 1.879185
11-03-2007 00:00, 9.685, 1.598025
12-03-2007 00:00, 6.111, 1.008315
13-03-2007 00:00, 6.662, 1.09923
14-03-2007 00:00, 7.089, 1.169685
15-03-2007 00:00, 10.427, 1.720455
16-03-2007 00:00, 7.505, 1.238325
17-03-2007 00:00, 5.509, 0.908985
18-03-2007 00:00, 2.099, 0.346335
19-03-2007 00:00, 10.58, 1.7457
20-03-2007 00:00, 8.032, 1.32528
21-03-2007 00:00, 8.224, 1.35696
22-03-2007 00:00, 7.66, 1.2639
23-03-2007 00:00, 8.137, 1.342605
24-03-2007 00:00, 10.092, 1.66518
25-03-2007 00:00, 6.741, 1.112265
26-03-2007 00:00, 7.704, 1.27116
27-03-2007 00:00, 7.859, 1.296735
28-03-2007 00:00, 2.333, 0.384945
29-03-2007 00:00, 0.844, 0.13926
30-03-2007 00:00, 5.421, 0.894465
31-03-2007 00:00, 9.111, 1.503315
01-04-2007 00:00, 5.445, 0.898425
02-04-2007 00:00, 0, 0
03-04-2007 00:00, 10.394, 1.71501
04-04-2007 00:00, 6.527, 1.076955
05-04-2007 00:00, 5.433, 0.896445
06-04-2007 00:00, 11.324, 1.86846
07-04-2007 00:00, 4.345, 0.716925
08-04-2007 00:00, 8.325, 1.373625
09-04-2007 00:00, 7.971, 1.315215
10-04-2007 00:00, 7.38, 1.2177
11-04-2007 00:00, 3.367, 0.555555
12-04-2007 00:00, 6.221, 1.026465
13-04-2007 00:00, 6.752, 1.11408
14-04-2007 00:00, 6.231, 1.028115
15-04-2007 00:00, 0, 0
16-04-2007 00:00, 5.553, 0.916245
17-04-2007 00:00, 2.599, 0.428835
18-04-2007 00:00, 0, 0
19-04-2007 00:00, 7.896, 1.30284
20-04-2007 00:00, 8.923, 1.472295
21-04-2007 00:00, 5.218, 0.86097
22-04-2007 00:00, 7.354, 1.21341
23-04-2007 00:00, 1.698, 0.28017
24-04-2007 00:00, 0.008, 0.00132
25-04-2007 00:00, 5.374, 0.88671
26-04-2007 00:00, 8.319, 1.372635
27-04-2007 00:00, 0, 0
28-04-2007 00:00, 5.977, 0.986205
29-04-2007 00:00, 0, 0
30-04-2007 00:00, 1.527, 0.251955
01-05-2007 00:00, 6.567, 1.083555
02-05-2007 00:00, 4.658, 0.76857
03-05-2007 00:00, 0, 0
04-05-2007 00:00, 0, 0
05-05-2007 00:00, 0.87, 0.14355
06-05-2007 00:00, 0, 0
07-05-2007 00:00, 0, 0
08-05-2007 00:00, 0, 0
09-05-2007 00:00, 0, 0
10-05-2007 00:00, 0.228, 0.03762
11-05-2007 00:00, 1.562, 0.25773
12-05-2007 00:00, 5.868, 0.96822
13-05-2007 00:00, 4.095, 0.675675
14-05-2007 00:00, 3.045, 0.502425
15-05-2007 00:00, 1.588, 0.26202
16-05-2007 00:00, 6.587, 1.086855
17-05-2007 00:00, 4.881, 0.805365
18-05-2007 00:00, 7.785, 1.284525
19-05-2007 00:00, 13.92, 2.2968
20-05-2007 00:00, 2.596, 0.42834
21-05-2007 00:00, 5.531, 0.912615
22-05-2007 00:00, 9.148, 1.50942
23-05-2007 00:00, 2.204, 0.36366
24-05-2007 00:00, 13.177, 2.174205
25-05-2007 00:00, 6.68, 1.1022
26-05-2007 00:00, 7.427, 1.225455
27-05-2007 00:00, 8.368, 1.38072
28-05-2007 00:00, 13.306, 2.19549
29-05-2007 00:00, 13.575, 2.239875
30-05-2007 00:00, 6.435, 1.061775
31-05-2007 00:00, 8.881, 1.465365
01-06-2007 00:00, 12.215, 2.015475
02-06-2007 00:00, 5.316, 0.87714
03-06-2007 00:00, 10.415, 1.718475
04-06-2007 00:00, 10.126, 1.67079
05-06-2007 00:00, 6.15, 1.01475
06-06-2007 00:00, 9.005, 1.485825
07-06-2007 00:00, 8.633, 1.424445
08-06-2007 00:00, 11.036, 1.82094
09-06-2007 00:00, 12.83, 2.11695
10-06-2007 00:00, 3.174, 0.52371
11-06-2007 00:00, 13.359, 2.204235
12-06-2007 00:00, 3.992, 0.65868
13-06-2007 00:00, 10.016, 1.65264
14-06-2007 00:00, 12.337, 2.035605
15-06-2007 00:00, 13.698, 2.26017
16-06-2007 00:00, 19.823, 3.270795
17-06-2007 00:00, 8.041, 1.326765
18-06-2007 00:00, 14.05, 2.31825
19-06-2007 00:00, 11.831, 1.952115
20-06-2007 00:00, 0.712, 0.11748
21-06-2007 00:00, 12.041, 1.986765
22-06-2007 00:00, 6.892, 1.13718
23-06-2007 00:00, 10.384, 1.71336
24-06-2007 00:00, 14.03, 2.31495
25-06-2007 00:00, 8.568, 1.41372
